FY	Character_Title	Fund_Title	Department_Title	SubObjTitle	budget	Dept	Fund	Char	Sub.obj
2014	Purchase of Services	Airport Operating Fund	Law	Transportation	89	44	90	2	211
2014	Personal Services	Community Development Fund	Law	Perm Full Time-civilian	147174	44	100	1	101
2014	Personal Services	Community Development Fund	Law	Plus/minus Gross Adj	99	44	100	1	109
2014	Purchase of Services	General Operating Fund	Board of Ethics	Advertising/Promotional Activities	500	45	10	2	240
2014	Materials and Supplies	General Operating Fund	Board of Ethics	Books and Other Publications	1579	45	10	3	304
2014	Equipment	General Operating Fund	Board of Ethics	Computer Equipment & Peripherals	1804	45	10	4	427
2014	Purchase of Services	General Operating Fund	Board of Ethics	Court Reporters	2225	45	10	2	258
2014	Purchase of Services	General Operating Fund	Board of Ethics	Maint/support-computr Hardware/soft	1173	45	10	2	266
2014	Materials and Supplies	General Operating Fund	Board of Ethics	Office Materials and Supplies	3550	45	10	3	320
2014	Purchase of Services	General Operating Fund	Board of Ethics	Other Expenses (Not Otherwise Classified)	365	45	10	2	299
2014	Personal Services	General Operating Fund	Board of Ethics	Perm Full Time-civilian	731390	45	10	1	101
2014	Personal Services	General Operating Fund	Board of Ethics	Plus/minus Gross Adj	10284	45	10	1	109
2014	Purchase of Services	General Operating Fund	Board of Ethics	Postage	1526	45	10	2	210
2014	Materials and Supplies	General Operating Fund	Board of Ethics	Printing	20	45	10	3	325
2014	Purchase of Services	General Operating Fund	Board of Ethics	Repair and Maintenance Charges	6014	45	10	2	260
2014	Purchase of Services	General Operating Fund	Board of Ethics	Seminar and Training Sessions	2886	45	10	2	256
2014	Purchase of Services	General Operating Fund	Board of Ethics	Telephone	146	45	10	2	209
2014	Purchase of Services	General Operating Fund	Board of Ethics	Transportation	4444	45	10	2	211
2014	Purchase of Services	General Operating Fund	Mayor's Office of Transportation	Dues	2595	46	10	2	255
2014	Personal Services	General Operating Fund	Mayor's Office of Transportation	Perm Full Time-civilian	517553	46	10	1	101
2014	Personal Services	General Operating Fund	Mayor's Office of Transportation	Plus/minus Gross Adj	188	46	10	1	109
2014	Purchase of Services	General Operating Fund	Mayor's Office of Transportation	Professional Consult/spec Services	60001	46	10	2	250
2014	Purchase of Services	General Operating Fund	Mayor's Office of Transportation	Purchase of Services Control	116000	46	10	2	200
2014	Purchase of Services	General Operating Fund	Mayor's Office of Transportation	Seminar and Training Sessions	9761	46	10	2	256
2014	Purchase of Services	General Operating Fund	Mayor's Office of Transportation	Transportation	2840	46	10	2	211
2014	Personal Services	Water Operating Fund	Mayor's Office of Transportation	Perm Full Time-civilian	208176	46	20	1	101
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office of Transportation	Commercial off-shelf Comp Software	329	46	80	2	216
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office of Transportation	Dues	8514	46	80	2	255
2014	Equipment	Grants Revenue Fund	Mayor's Office of Transportation	Furniture and Furnishings	410	46	80	4	430
2014	Materials and Supplies	Grants Revenue Fund	Mayor's Office of Transportation	Office Materials and Supplies	550	46	80	3	320
2014	Personal Services	Grants Revenue Fund	Mayor's Office of Transportation	Perm Full Time-civilian	69697	46	80	1	101
2014	Materials and Supplies	Grants Revenue Fund	Mayor's Office of Transportation	Printing	20	46	80	3	325
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office of Transportation	Seminar and Training Sessions	2808	46	80	2	256
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office of Transportation	Transportation	1099	46	80	2	211
2014	Personal Services	Airport Operating Fund	Mayor's Office of Transportation	Perm Full Time-civilian	171170	46	90	1	101
2014	Purchase of Services	General Operating Fund	Youth Commission	Advertising/Promotional Activities	5700	47	10	2	240
2014	Materials and Supplies	General Operating Fund	Youth Commission	Dry Goods/notions/wearing Apparel	2160	47	10	3	308
2014	Purchase of Services	General Operating Fund	Youth Commission	Meals-non-travel & officl Entertain	811	47	10	2	230
2014	Materials and Supplies	General Operating Fund	Youth Commission	Office Materials and Supplies	159	47	10	3	320
2014	Personal Services	General Operating Fund	Youth Commission	Perm Full Time-civilian	70828	47	10	1	101
2014	Personal Services	General Operating Fund	Youth Commission	Plus/minus Gross Adj	400	47	10	1	109
2014	Personal Services	General Operating Fund	Youth Commission	Temporary/seasonal	1460	47	10	1	121
2014	Purchase of Services	General Operating Fund	Youth Commission	Transportation	1633	47	10	2	211
2014	Purchase of Services	General Operating Fund	Mayor-Office of The Inspector General	Dues	1150	48	10	2	255
2014	Purchase of Services	General Operating Fund	Mayor-Office of The Inspector General	Information Technology-prof Service	832	48	10	2	251
2014	Purchase of Services	General Operating Fund	Mayor-Office of The Inspector General	Legal Services	147	48	10	2	253
2014	Purchase of Services	General Operating Fund	Mayor-Office of The Inspector General	Meals-non-travel & officl Entertain	693	48	10	2	230
2014	Materials and Supplies	General Operating Fund	Mayor-Office of The Inspector General	Office Materials and Supplies	2982	48	10	3	320
2014	Personal Services	General Operating Fund	Mayor-Office of The Inspector General	Perm Full Time-civilian	1207630	48	10	1	101
2014	Personal Services	General Operating Fund	Mayor-Office of The Inspector General	Plus/minus Gross Adj	361	48	10	1	109
2014	Materials and Supplies	General Operating Fund	Mayor-Office of The Inspector General	Printing	64	48	10	3	325
2014	Purchase of Services	General Operating Fund	Mayor-Office of The Inspector General	Professional Consult/spec Services	151195	48	10	2	250
2014	Purchase of Services	General Operating Fund	Mayor-Office of The Inspector General	Rent/Lease-Purchase Computer Equipment	3809	48	10	2	282
2014	Purchase of Services	General Operating Fund	Mayor-Office of The Inspector General	Repair and Maintenance Charges	169	48	10	2	260
2014	Personal Services	General Operating Fund	Mayor-Office of The Inspector General	Salary Control	7500	48	10	1	100
2014	Purchase of Services	General Operating Fund	Mayor-Office of The Inspector General	Seminar and Training Sessions	14449	48	10	2	256
2014	Purchase of Services	General Operating Fund	Mayor-Office of The Inspector General	Transportation	9738	48	10	2	211
2014	Purchase of Services	Grants Revenue Fund	Mayor-Office of The Inspector General	Professional Consult/spec Services	8000	48	80	2	250
2014	Personal Services	General Operating Fund	Mayors Office-Mural Arts Program	Overtime-civilian	8218	50	10	1	161
2014	Personal Services	General Operating Fund	Mayors Office-Mural Arts Program	Perm Full Time-civilian	438187	50	10	1	101
2014	Personal Services	General Operating Fund	Mayors Office-Mural Arts Program	Plus/minus Gross Adj	-898	50	10	1	109
2014	Purchase of Services	General Operating Fund	Mayors Office-Mural Arts Program	Professional Consult/spec Services	1139896	50	10	2	250
2014	Personal Services	General Operating Fund	Mayors Office-Mural Arts Program	Salary Control	842	50	10	1	100
2014	Personal Services	General Operating Fund	City Planning Commission	Board	2560	51	10	1	131
2014	Materials and Supplies	General Operating Fund	City Planning Commission	Books and Other Publications	631	51	10	3	304
2014	Materials and Supplies	General Operating Fund	City Planning Commission	Building and Construction	29	51	10	3	305
2014	Purchase of Services	General Operating Fund	City Planning Commission	Commercial off-shelf Comp Software	5196	51	10	2	216
2014	Equipment	General Operating Fund	City Planning Commission	Computer Equipment & Peripherals	25192	51	10	4	427
2014	Purchase of Services	General Operating Fund	City Planning Commission	Court Reporters	125	51	10	2	258
2014	Purchase of Services	General Operating Fund	City Planning Commission	Dues	2303	51	10	2	255
2014	Materials and Supplies	General Operating Fund	City Planning Commission	Electrical and Communication	170	51	10	3	310
2014	Personal Services	General Operating Fund	City Planning Commission	Holiday "G"(2/3 Shifts)	75	51	10	1	171
2014	Materials and Supplies	General Operating Fund	City Planning Commission	Hospital and Laboratory	115	51	10	3	317
2014	Purchase of Services	General Operating Fund	City Planning Commission	Meals-non-travel & officl Entertain	1711	51	10	2	230
2014	Materials and Supplies	General Operating Fund	City Planning Commission	Office Materials and Supplies	8656	51	10	3	320
2014	Personal Services	General Operating Fund	City Planning Commission	Overtime-civilian	150	51	10	1	161
2014	Personal Services	General Operating Fund	City Planning Commission	Perm Full Time-civilian	2083280	51	10	1	101
2014	Personal Services	General Operating Fund	City Planning Commission	Plus/minus Gross Adj	55397	51	10	1	109
2014	Purchase of Services	General Operating Fund	City Planning Commission	Postage	610	51	10	2	210
2014	Materials and Supplies	General Operating Fund	City Planning Commission	Precision, Photographic and Artists	2509	51	10	3	324
2014	Materials and Supplies	General Operating Fund	City Planning Commission	Printing	102	51	10	3	325
2014	Purchase of Services	General Operating Fund	City Planning Commission	Professional Consult/spec Services	10167	51	10	2	250
2014	Purchase of Services	General Operating Fund	City Planning Commission	Rents	26676	51	10	2	285
2014	Purchase of Services	General Operating Fund	City Planning Commission	Repair and Maintenance Charges	609	51	10	2	260
2014	Personal Services	General Operating Fund	City Planning Commission	Salary Control	51095	51	10	1	100
2014	Purchase of Services	General Operating Fund	City Planning Commission	Seminar and Training Sessions	15151	51	10	2	256
2014	Purchase of Services	General Operating Fund	City Planning Commission	Telephone	50	51	10	2	209
2014	Purchase of Services	General Operating Fund	City Planning Commission	Transportation	9520	51	10	2	211
2014	Personal Services	Grants Revenue Fund	City Planning Commission	FICA Taxes	3225	51	80	1	192
2014	Personal Services	Grants Revenue Fund	City Planning Commission	Group Legal Insurance	144	51	80	1	195
2014	Personal Services	Grants Revenue Fund	City Planning Commission	Group Life Insurance	36	51	80	1	194
2014	Purchase of Services	Grants Revenue Fund	City Planning Commission	Meals-non-travel & officl Entertain	210	51	80	2	230
2014	Personal Services	Grants Revenue Fund	City Planning Commission	Medical Health & Welfare Credit	10982	51	80	1	193
2014	Personal Services	Grants Revenue Fund	City Planning Commission	Medicare Tax	754	51	80	1	189
2014	Payments to Other Funds	Grants Revenue Fund	City Planning Commission	Payments To General Fund	318	51	80	8	801
2014	Personal Services	Grants Revenue Fund	City Planning Commission	Pension-actual	5004	51	80	1	191
2014	Personal Services	Grants Revenue Fund	City Planning Commission	Perm Full Time-civilian	84371	51	80	1	101
2014	Personal Services	Grants Revenue Fund	City Planning Commission	Plus/minus Gross Adj	2000	51	80	1	109
2014	Purchase of Services	Grants Revenue Fund	City Planning Commission	Professional Consult/spec Services	299565	51	80	2	250
2014	Purchase of Services	Grants Revenue Fund	City Planning Commission	Seminar and Training Sessions	20	51	80	2	256
2014	Purchase of Services	Grants Revenue Fund	City Planning Commission	Transportation	1254	51	80	2	211
2014	Personal Services	Grants Revenue Fund	City Planning Commission	Worker's Comp-disability Comp	985	51	80	1	187
2014	Personal Services	Community Development Fund	City Planning Commission	Perm Full Time-civilian	231826	51	100	1	101
2014	Personal Services	Community Development Fund	City Planning Commission	Plus/minus Gross Adj	7219	51	100	1	109
2014	Personal Services	Community Development Fund	City Planning Commission	Salary Control	27621	51	100	1	100
2014	Materials and Supplies	General Operating Fund	Free Library	Agricultural and Botanical	703	52	10	3	301
2014	Equipment	General Operating Fund	Free Library	Agricultural and Botanical	5882	52	10	4	401
2014	Materials and Supplies	General Operating Fund	Free Library	Building and Construction	24614	52	10	3	305
2014	Purchase of Services	General Operating Fund	Free Library	Cleaning and Laundering	19317	52	10	2	201
2014	Purchase of Services	General Operating Fund	Free Library	Commercial off-shelf Comp Software	81274	52	10	2	216
2014	Equipment	General Operating Fund	Free Library	Computer Equipment & Peripherals	26513	52	10	4	427
2014	Materials and Supplies	General Operating Fund	Free Library	Dry Goods/notions/wearing Apparel	10765	52	10	3	308
2014	Purchase of Services	General Operating Fund	Free Library	Dues	165	52	10	2	255
2014	Materials and Supplies	General Operating Fund	Free Library	Electrical and Communication	21130	52	10	3	310
2014	Materials and Supplies	General Operating Fund	Free Library	Fire Fighting and Safety	499	52	10	3	312
2014	Equipment	General Operating Fund	Free Library	Furniture and Furnishings	26555	52	10	4	430
2014	Materials and Supplies	General Operating Fund	Free Library	General Hardware and Minor Tools	4067	52	10	3	316
2014	Personal Services	General Operating Fund	Free Library	Holiday "G"(2/3 Shifts)	7363	52	10	1	171
2014	Materials and Supplies	General Operating Fund	Free Library	Hospital and Laboratory	2971	52	10	3	317
2014	Equipment	General Operating Fund	Free Library	Janitorial and Laundry	972	52	10	4	418
2014	Purchase of Services	General Operating Fund	Free Library	Janitorial Services	29999	52	10	2	202
2014	Materials and Supplies	General Operating Fund	Free Library	Janitorial, Laundry and Household	66906	52	10	3	318
2014	Materials and Supplies	General Operating Fund	Free Library	Library Materials	1663215	52	10	3	306
2014	Purchase of Services	General Operating Fund	Free Library	Licenses Permits Inspection Charges	98	52	10	2	215
2014	Purchase of Services	General Operating Fund	Free Library	Maint/support-computr Hardware/soft	166494	52	10	2	266
2014	Purchase of Services	General Operating Fund	Free Library	Meals-non-travel & officl Entertain	24944	52	10	2	230
2014	Equipment	General Operating Fund	Free Library	Office Equipment	4761	52	10	4	420
2014	Materials and Supplies	General Operating Fund	Free Library	Office Materials and Supplies	84823	52	10	3	320
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Free Library	Other Non-automotive	11000	52	10	5	569
2014	Personal Services	General Operating Fund	Free Library	Overtime-civilian	1252355	52	10	1	161
2014	Personal Services	General Operating Fund	Free Library	Perm Full Time-civilian	26370883	52	10	1	101
2014	Personal Services	General Operating Fund	Free Library	Perm Part Time	700674	52	10	1	111
2014	Materials and Supplies	General Operating Fund	Free Library	Plumbing/air Conditioning/space Htg	1830	52	10	3	323
2014	Equipment	General Operating Fund	Free Library	Plumbing/air Conditioning/space Htg	6159	52	10	4	423
2014	Personal Services	General Operating Fund	Free Library	Plus/minus Gross Adj	614803	52	10	1	109
2014	Materials and Supplies	General Operating Fund	Free Library	Precision, Photographic and Artists	24002	52	10	3	324
2014	Materials and Supplies	General Operating Fund	Free Library	Printing	22466	52	10	3	325
2014	Purchase of Services	General Operating Fund	Free Library	Professional Consult/spec Services	772939	52	10	2	250
2014	Purchase of Services	General Operating Fund	Free Library	Refuse/garbage/silt/sludge Removal	668	52	10	2	205
2014	Purchase of Services	General Operating Fund	Free Library	Rents	18585	52	10	2	285
2014	Purchase of Services	General Operating Fund	Free Library	Repair and Maintenance Charges	684078	52	10	2	260
2014	Personal Services	General Operating Fund	Free Library	Salary Control	178555	52	10	1	100
2014	Purchase of Services	General Operating Fund	Free Library	Seminar and Training Sessions	1709	52	10	2	256
2014	Personal Services	General Operating Fund	Free Library	Shift	49162	52	10	1	181
2014	Personal Services	General Operating Fund	Free Library	Sick Pay(b Time)-civilian	24663	52	10	1	199
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Free Library	Sidewalk Falls	175000	52	10	5	564
2014	Materials and Supplies	General Operating Fund	Free Library	Small Power Tools and Hand Tools	3825	52	10	3	322
2014	Purchase of Services	General Operating Fund	Free Library	Telephone	909413	52	10	2	209
2014	Personal Services	General Operating Fund	Free Library	Temporary/seasonal	1602986	52	10	1	121
2014	Purchase of Services	General Operating Fund	Free Library	Transportation	7312	52	10	2	211
2014	Purchase of Services	Grants Revenue Fund	Free Library	Advertising/Promotional Activities	625	52	80	2	240
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Agricultural and Botanical	1244	52	80	3	301
2014	Equipment	Grants Revenue Fund	Free Library	Agricultural and Botanical	6539	52	80	4	401
2014	Equipment	Grants Revenue Fund	Free Library	Bakeshop, Dining Room and Kitchen	6156	52	80	4	403
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Books and Other Publications	3500	52	80	3	304
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Building and Construction	185871	52	80	3	305
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Chemicals and Gases	10344	52	80	3	307
2014	Purchase of Services	Grants Revenue Fund	Free Library	Cleaning and Laundering	39508	52	80	2	201
2014	Purchase of Services	Grants Revenue Fund	Free Library	Commercial off-shelf Comp Software	36508	52	80	2	216
2014	Equipment	Grants Revenue Fund	Free Library	Computer Equipment & Peripherals	49675	52	80	4	427
2014	Equipment	Grants Revenue Fund	Free Library	Construction, Dredging, Conveying	1039	52	80	4	405
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Dry Goods/notions/wearing Apparel	31296	52	80	3	308
2014	Purchase of Services	Grants Revenue Fund	Free Library	Dues	32857	52	80	2	255
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Electrical and Communication	89891	52	80	3	310
2014	Equipment	Grants Revenue Fund	Free Library	Electrical Lighting Communication	32942	52	80	4	410
2014	Personal Services	Grants Revenue Fund	Free Library	FICA Taxes	8456	52	80	1	192
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Fire Fighting and Safety	383	52	80	3	312
2014	Equipment	Grants Revenue Fund	Free Library	Furniture and Furnishings	31655	52	80	4	430
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Gasoline	380	52	80	3	345
2014	Materials and Supplies	Grants Revenue Fund	Free Library	General Equipment and Machinery	6500	52	80	3	311
2014	Equipment	Grants Revenue Fund	Free Library	General Equipment and Machinery	7613	52	80	4	411
2014	Materials and Supplies	Grants Revenue Fund	Free Library	General Hardware and Minor Tools	57048	52	80	3	316
2014	Purchase of Services	Grants Revenue Fund	Free Library	Ground and Building Rental	793567	52	80	2	284
2014	Personal Services	Grants Revenue Fund	Free Library	Group Legal Insurance	381	52	80	1	195
2014	Personal Services	Grants Revenue Fund	Free Library	Group Life Insurance	609	52	80	1	194
2014	Personal Services	Grants Revenue Fund	Free Library	Holiday "G"(2/3 Shifts)	220	52	80	1	171
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Hospital and Laboratory	73	52	80	3	317
2014	Equipment	Grants Revenue Fund	Free Library	Hospital and Laboratory	1745	52	80	4	417
2014	Equipment	Grants Revenue Fund	Free Library	Janitorial and Laundry	4568	52	80	4	418
2014	Purchase of Services	Grants Revenue Fund	Free Library	Janitorial Services	67850	52	80	2	202
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Janitorial, Laundry and Household	28088	52	80	3	318
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Library Materials	2205287	52	80	3	306
2014	Purchase of Services	Grants Revenue Fund	Free Library	Licenses Permits Inspection Charges	1293	52	80	2	215
2014	Purchase of Services	Grants Revenue Fund	Free Library	Maint/support-computr Hardware/soft	187681	52	80	2	266
2014	Purchase of Services	Grants Revenue Fund	Free Library	Meals-non-travel & officl Entertain	32525	52	80	2	230
2014	Personal Services	Grants Revenue Fund	Free Library	Medical Health & Welfare Credit	47938	52	80	1	193
2014	Personal Services	Grants Revenue Fund	Free Library	Medicare Tax	1589	52	80	1	189
2014	Equipment	Grants Revenue Fund	Free Library	Office Equipment	4550	52	80	4	420
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Office Materials and Supplies	103253	52	80	3	320
2014	Personal Services	Grants Revenue Fund	Free Library	Overtime-civilian	53194	52	80	1	161
2014	Personal Services	Grants Revenue Fund	Free Library	Pension-actual	39013	52	80	1	191
2014	Personal Services	Grants Revenue Fund	Free Library	Pension-obligation Bond Payments	18380	52	80	1	190
2014	Personal Services	Grants Revenue Fund	Free Library	Perm Full Time-civilian	1044121	52	80	1	101
2014	Personal Services	Grants Revenue Fund	Free Library	Perm Part Time	30688	52	80	1	111
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Plumbing/air Conditioning/space Htg	38899	52	80	3	323
2014	Equipment	Grants Revenue Fund	Free Library	Plumbing/air Conditioning/space Htg	13528	52	80	4	423
2014	Personal Services	Grants Revenue Fund	Free Library	Plus/minus Gross Adj	37931	52	80	1	109
2014	Purchase of Services	Grants Revenue Fund	Free Library	Postage	143000	52	80	2	210
2014	Equipment	Grants Revenue Fund	Free Library	Precision, Photographic and Artists	1299	52	80	4	424
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Precision, Photographic and Artists	29124	52	80	3	324
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Printing	67084	52	80	3	325
2014	Purchase of Services	Grants Revenue Fund	Free Library	Professional Consult/spec Services	659888	52	80	2	250
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Recreational and Educational	2665	52	80	3	326
2014	Purchase of Services	Grants Revenue Fund	Free Library	Refuse/garbage/silt/sludge Removal	946	52	80	2	205
2014	Purchase of Services	Grants Revenue Fund	Free Library	Rent/Lease-Purchase Computer Equipment	533885	52	80	2	282
2014	Purchase of Services	Grants Revenue Fund	Free Library	Rents	461668	52	80	2	285
2014	Purchase of Services	Grants Revenue Fund	Free Library	Repair and Maintenance Charges	683579	52	80	2	260
2014	Personal Services	Grants Revenue Fund	Free Library	Salary Control	27428	52	80	1	100
2014	Purchase of Services	Grants Revenue Fund	Free Library	Seminar and Training Sessions	31938	52	80	2	256
2014	Personal Services	Grants Revenue Fund	Free Library	Shift	1494	52	80	1	181
2014	Personal Services	Grants Revenue Fund	Free Library	Sick Pay(b Time)-civilian	4870	52	80	1	199
2014	Materials and Supplies	Grants Revenue Fund	Free Library	Small Power Tools and Hand Tools	18082	52	80	3	322
2014	Purchase of Services	Grants Revenue Fund	Free Library	Telephone	30315	52	80	2	209
2014	Personal Services	Grants Revenue Fund	Free Library	Temporary/seasonal	25834	52	80	1	121
2014	Purchase of Services	Grants Revenue Fund	Free Library	Transportation	81604	52	80	2	211
2014	Personal Services	Grants Revenue Fund	Free Library	Worker's Comp-disability Comp	4094	52	80	1	187
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Accounting and Auditing Services	70000	53	390	2	252
2014	Materials and Supplies	Undistributed Pension Funds	Board of Pensions	Books and Other Publications	1191	53	390	3	304
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Commercial off-shelf Comp Software	28189	53	390	2	216
2014	Equipment	Undistributed Pension Funds	Board of Pensions	Computer Equipment & Peripherals	4288	53	390	4	427
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Court Reporters	7489	53	390	2	258
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Dues	345	53	390	2	255
2014	Materials and Supplies	Undistributed Pension Funds	Board of Pensions	Electrical and Communication	7	53	390	3	310
2014	Personal Services	Undistributed Pension Funds	Board of Pensions	FICA Taxes	194976	53	390	1	192
2014	Personal Services	Undistributed Pension Funds	Board of Pensions	Flex Cash	32	53	390	1	186
2014	Materials and Supplies	Undistributed Pension Funds	Board of Pensions	Food	3852	53	390	3	313
2014	Materials and Supplies	Undistributed Pension Funds	Board of Pensions	General Hardware and Minor Tools	158	53	390	3	316
2014	Personal Services	Undistributed Pension Funds	Board of Pensions	Group Legal Insurance	5736	53	390	1	195
2014	Personal Services	Undistributed Pension Funds	Board of Pensions	Group Life Insurance	10647	53	390	1	194
2014	Materials and Supplies	Undistributed Pension Funds	Board of Pensions	Hospital and Laboratory	5	53	390	3	317
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Information Technology-prof Service	204375	53	390	2	251
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Lease Payments-phila Municipal Auth	770000	53	390	2	281
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Legal Services	54176	53	390	2	253
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Licenses Permits Inspection Charges	99	53	390	2	215
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Maint/support-computr Hardware/soft	1000	53	390	2	266
2014	Personal Services	Undistributed Pension Funds	Board of Pensions	Medical Health & Welfare Credit	815609	53	390	1	193
2014	Personal Services	Undistributed Pension Funds	Board of Pensions	Medicare Tax	47097	53	390	1	189
2014	Equipment	Undistributed Pension Funds	Board of Pensions	Office Equipment	695	53	390	4	420
2014	Materials and Supplies	Undistributed Pension Funds	Board of Pensions	Office Materials and Supplies	20205	53	390	3	320
2014	Payments to Other Funds	Undistributed Pension Funds	Board of Pensions	Payments To General Fund	178885	53	390	8	801
2014	Personal Services	Undistributed Pension Funds	Board of Pensions	Pension-actual	1259627	53	390	1	191
2014	Personal Services	Undistributed Pension Funds	Board of Pensions	Pension-obligation Bond Payments	675971	53	390	1	190
2014	Personal Services	Undistributed Pension Funds	Board of Pensions	Perm Full Time-civilian	3282973	53	390	1	101
2014	Personal Services	Undistributed Pension Funds	Board of Pensions	Perm Part Time	1173	53	390	1	111
2014	Personal Services	Undistributed Pension Funds	Board of Pensions	Plus/minus Gross Adj	14686	53	390	1	109
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Postage	95783	53	390	2	210
2014	Materials and Supplies	Undistributed Pension Funds	Board of Pensions	Precision, Photographic and Artists	7929	53	390	3	324
2014	Materials and Supplies	Undistributed Pension Funds	Board of Pensions	Printing	27441	53	390	3	325
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Professional Consult/spec Services	495722	53	390	2	250
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Refuse/garbage/silt/sludge Removal	650	53	390	2	205
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Rents	300	53	390	2	285
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Repair and Maintenance Charges	8640	53	390	2	260
2014	Personal Services	Undistributed Pension Funds	Board of Pensions	Salary Control	74144	53	390	1	100
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Seminar and Training Sessions	1280	53	390	2	256
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Telephone	3125	53	390	2	209
2014	Purchase of Services	Undistributed Pension Funds	Board of Pensions	Transportation	12613	53	390	2	211
2014	Personal Services	Undistributed Pension Funds	Board of Pensions	Worker's Comp-disability Comp	66073	53	390	1	187
2014	Purchase of Services	General Operating Fund	Commission On Human Relations	Advertising/Promotional Activities	99	54	10	2	240
2014	Personal Services	General Operating Fund	Commission On Human Relations	Board	27030	54	10	1	131
2014	Materials and Supplies	General Operating Fund	Commission On Human Relations	Books and Other Publications	493	54	10	3	304
2014	Purchase of Services	General Operating Fund	Commission On Human Relations	Commercial off-shelf Comp Software	49	54	10	2	216
2014	Purchase of Services	General Operating Fund	Commission On Human Relations	Court Reporters	17316	54	10	2	258
2014	Purchase of Services	General Operating Fund	Commission On Human Relations	Dues	1523	54	10	2	255
2014	Purchase of Services	General Operating Fund	Commission On Human Relations	Janitorial Services	155	54	10	2	202
2014	Purchase of Services	General Operating Fund	Commission On Human Relations	Maint/support-computr Hardware/soft	1154	54	10	2	266
2014	Purchase of Services	General Operating Fund	Commission On Human Relations	Meals-non-travel & officl Entertain	86	54	10	2	230
2014	Materials and Supplies	General Operating Fund	Commission On Human Relations	Office Materials and Supplies	8635	54	10	3	320
2014	Personal Services	General Operating Fund	Commission On Human Relations	Perm Full Time-civilian	1651340	54	10	1	101
2014	Personal Services	General Operating Fund	Commission On Human Relations	Plus/minus Gross Adj	43586	54	10	1	109
2014	Purchase of Services	General Operating Fund	Commission On Human Relations	Postage	25	54	10	2	210
2014	Equipment	General Operating Fund	Commission On Human Relations	Precision, Photographic and Artists	189	54	10	4	424
2014	Materials and Supplies	General Operating Fund	Commission On Human Relations	Printing	199	54	10	3	325
2014	Purchase of Services	General Operating Fund	Commission On Human Relations	Professional Consult/spec Services	1498	54	10	2	250
2014	Purchase of Services	General Operating Fund	Commission On Human Relations	Repair and Maintenance Charges	2363	54	10	2	260
2014	Personal Services	General Operating Fund	Commission On Human Relations	Salary Control	22678	54	10	1	100
2014	Purchase of Services	General Operating Fund	Commission On Human Relations	Seminar and Training Sessions	1057	54	10	2	256
2014	Purchase of Services	General Operating Fund	Commission On Human Relations	Telephone	53	54	10	2	209
2014	Purchase of Services	General Operating Fund	Commission On Human Relations	Transportation	4122	54	10	2	211
2014	Personal Services	General Operating Fund	Civil Service Commission	Board	56875	55	10	1	131
2014	Materials and Supplies	General Operating Fund	Civil Service Commission	Office Materials and Supplies	294	55	10	3	320
2014	Personal Services	General Operating Fund	Civil Service Commission	Perm Full Time-civilian	89711	55	10	1	101
2014	Purchase of Services	General Operating Fund	Civil Service Commission	Professional Consult/spec Services	29500	55	10	2	250
2014	Purchase of Services	General Operating Fund	Personnel	Advertising/Promotional Activities	1499	56	10	2	240
2014	Materials and Supplies	General Operating Fund	Personnel	Books and Other Publications	7723	56	10	3	304
